season,season_week,week,week_start_date,year,cases,prec,tavg,mu
1990/1991,1,18,4/30/90,1990,4,16.64,298.2642857,
1990/1991,2,19,5/7/90,1990,5,22.9,298.9928571,
1990/1991,3,20,5/14/90,1990,4,18.5,299.0642857,
1990/1991,4,21,5/21/90,1990,3,7.3,299.6857143,
1990/1991,5,22,5/28/90,1990,6,25.19,299.8714286,
1990/1991,6,23,6/4/90,1990,2,44.7,299.0928571,
1990/1991,7,24,6/11/90,1990,4,24.8,299.6,
1990/1991,8,25,6/18/90,1990,5,38.91,299.5642857,
1990/1991,9,26,6/25/90,1990,10,32.3,300.0357143,
1990/1991,10,27,7/2/90,1990,6,40.9,299.7714286,
1990/1991,11,28,7/9/90,1990,8,43.72,299.5857143,
1990/1991,12,29,7/16/90,1990,2,32.63,299.8714286,
1990/1991,13,30,7/23/90,1990,6,44.5,299.7142857,0.843304843
1990/1991,14,31,7/30/90,1990,17,18.8,300.5071429,1.018867925
1990/1991,15,32,8/6/90,1990,23,84.6,300.1571429,1.179527559
1990/1991,16,33,8/13/90,1990,13,38.6,300.3,0.902439024
1990/1991,17,34,8/20/90,1990,21,45.6,300.1,0.987003058
1990/1991,18,35,8/27/90,1990,28,20,300.8571429,1.089900759
1990/1991,19,36,9/3/90,1990,24,34.38,300.6214286,1.01524268
1990/1991,20,37,9/10/90,1990,20,35.4,299.9,0.979692106
1990/1991,21,38,9/17/90,1990,40,16.7,300.5642857,1.091306884
1990/1991,22,39,9/24/90,1990,27,34.2,300.7571429,0.966112013
1990/1991,23,40,10/1/90,1990,42,127.2,300.15,1.040206369
1990/1991,24,41,10/8/90,1990,33,250.7,299.4785714,0.98579429
1990/1991,25,42,10/15/90,1990,43,130.32,298.9714286,1.025933857
1990/1991,26,43,10/22/90,1990,37,22.06,299.7,0.989627165
1990/1991,27,44,10/29/90,1990,57,11.1,300.05,1.047083813
1990/1991,28,45,11/5/90,1990,71,10.6,300.4285714,1.111277552
1990/1991,29,46,11/12/90,1990,44,35.9,299.7285714,0.975596845
1990/1991,30,47,11/19/90,1990,56,29.3,298.4428571,0.996075738
1990/1991,31,48,11/26/90,1990,53,82.8,298.7285714,0.994018823
1990/1991,32,49,12/3/90,1990,52,9.7,298.2571429,0.99627568
1990/1991,33,50,12/10/90,1990,47,32.81,298.3571429,0.972392301
1990/1991,34,51,12/17/90,1990,26,3.46,298.3285714,0.95624731
1990/1991,35,52,12/24/90,1990,27,65.48,297.25,0.942546082
1990/1991,36,1,1/1/91,1991,21,26.33,297.8285714,0.948387819
1990/1991,37,2,1/8/91,1991,21,27.4,297.6571429,0.934488297
1990/1991,38,3,1/15/91,1991,26,0.7,298.15,0.945432498
1990/1991,39,4,1/22/91,1991,34,5.7,298.2285714,0.921736599
1990/1991,40,5,1/29/91,1991,37,19.69,297.9285714,0.882572652
1990/1991,41,6,2/5/91,1991,17,21.4,297.1142857,0.923367246
1990/1991,42,7,2/12/91,1991,19,26.2,297.6142857,0.886083559
1990/1991,43,8,2/19/91,1991,25,23.8,297.8285714,0.883621934
1990/1991,44,9,2/26/91,1991,18,8.3,298.0785714,0.851404591
1990/1991,45,10,3/5/91,1991,21,13.37,297.6357143,0.847138554
1990/1991,46,11,3/12/91,1991,17,11.1,297.6142857,0.931190223
1990/1991,47,12,3/19/91,1991,17,21.26,297.6928571,0.923820193
1990/1991,48,13,3/26/91,1991,16,20.9,297.1857143,0.940456648
1990/1991,49,14,4/2/91,1991,16,19.78,297.6571429,0.938766114
1990/1991,50,15,4/9/91,1991,15,21.9,297.3928571,0.917864476
1990/1991,51,16,4/16/91,1991,23,19.7,298.2357143,0.896598639
1990/1991,52,17,4/23/91,1991,16,8.38,299.0714286,0.834189987
1991/1992,1,18,4/30/91,1991,17,20.6,298.7214286,0.972222222
1991/1992,2,19,5/7/91,1991,12,35.37,298.4071429,0.943478261
1991/1992,3,20,5/14/91,1991,17,59.3,298.4571429,0.926586796
1991/1992,4,21,5/21/91,1991,10,43.4,298.8857143,0.935321996
1991/1992,5,22,5/28/91,1991,15,5,299.75,0.929824561
1991/1992,6,23,6/4/91,1991,19,5.82,300.0714286,0.970765809
1991/1992,7,24,6/11/91,1991,21,17,299.9714286,0.983224604
